Target,Baseline_F1_default,Baseline_F1_optimized,Optimized_F1,Baseline_AUC,Optimized_AUC,Improvement
win,0.5216266974075644,0.557117015694374,0.5973861877079052,0.96270594962543,0.9677245200975864,7.2281353609960926
podium,0.7386969721351373,0.7674289842092287,0.7747057703593855,0.9569877832909044,0.9584208437527724,0.9482031953295236
points_finish,0.7830536658534663,0.7942700195214151,0.7956161684805203,0.843734187418783,0.8434565676954031,0.1694825344051572
top5,0.7923146447956371,0.7982625763806245,0.8067761164722543,0.9110475314972908,0.9159959399537669,1.0665087332830774
