Metric,Baseline_Train,Baseline_Test,Optimized_Train,Optimized_Test
MAE,2.3373701475890063,3.216767828435398,2.26922232752655,3.1909381144949296
RMSE,3.1834857238626255,4.184018732495646,3.1382542268898397,4.175170902823657
R²,0.7002266294254961,0.4671735126315494,0.7086845738261587,0.4694246370381353
Median_AE,2.243896924303124,2.4143573060382852,2.111087055289868,2.3463155661917536
Within_1,23.363774733637747,17.662337662337663,23.43987823439878,17.142857142857142
Within_2,45.20547945205479,40.0,48.4779299847793,41.2987012987013
Within_3,63.926940639269404,59.74025974025974,65.82952815829528,61.298701298701296
Within_5,86.22526636225267,81.2987012987013,86.45357686453576,81.81818181818183
