mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_reg_lambda,param_reg_alpha,param_n_estimators,param_min_child_weight,param_max_depth,param_learning_rate,param_gamma,param_colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.2227412223815918,0.01622469702285436,0.008612680435180663,0.0016086593902807447,0.8,0.0,0.5,300,15,10,0.01,0.5,0.8,"{'subsample': 0.8, 'reg_lambda': 0, 'reg_alpha': 0.5, 'n_estimators': 300, 'min_child_weight': 15, 'max_depth': 10, 'learning_rate': 0.01, 'gamma': 0.5, 'colsample_bytree': 0.8}",-2.8484738327318917,-3.062610731506404,-2.9794531795183627,-3.1285555574854564,-2.8777854260758433,-2.9793757454635914,0.1064317518061046,30,-2.883185637409792,-2.8457719932472854,-2.873258067681472,-2.8266294404433303,-2.8942607216545637,-2.864621172087289,0.024885342886989466
0.21157221794128417,0.014931807830222594,0.009030914306640625,0.002457529101701248,0.7,0.0,0.0,300,15,6,0.03,0.5,0.6,"{'subsample': 0.7, 'reg_lambda': 0, 'reg_alpha': 0, 'n_estimators': 300, 'min_child_weight': 15, 'max_depth': 6, 'learning_rate': 0.03, 'gamma': 0.5, 'colsample_bytree': 0.6}",-2.829523777800702,-3.0099407547233445,-2.898326242353748,-3.0838994315544825,-2.90845732650612,-2.946029506587679,0.0898372070174141,23,-2.8348730374374265,-2.8034977821116254,-2.842866853107805,-2.7724212644070114,-2.81820236683218,-2.8143722607792094,0.025000134923043427
0.48236789703369143,0.019828387410471326,0.009063196182250977,0.0013375526942771172,0.9,0.1,0.5,700,20,8,0.01,0.0,0.6,"{'subsample': 0.9, 'reg_lambda': 0.1, 'reg_alpha': 0.5, 'n_estimators': 700, 'min_child_weight': 20, 'max_depth': 8, 'learning_rate': 0.01, 'gamma': 0, 'colsample_bytree': 0.6}",-2.8677589535565398,-3.083271010569969,-2.89589434645049,-3.1233268496359043,-2.9123153721798696,-2.9765133064785543,0.10526131730222284,29,-2.8350877614126757,-2.8111760458361537,-2.8562342389112145,-2.7841876321148757,-2.822977199736515,-2.821932575602287,0.02404636334469007
0.21583933830261232,0.014399862534568297,0.008640146255493164,0.001489325653987443,0.8,0.5,0.0,300,10,6,0.05,0.5,0.7,"{'subsample': 0.8, 'reg_lambda': 0.5, 'reg_alpha': 0, 'n_estimators': 300, 'min_child_weight': 10, 'max_depth': 6, 'learning_rate': 0.05, 'gamma': 0.5, 'colsample_bytree': 0.7}",-2.78287327552868,-2.8184788709984834,-2.868650631973514,-2.9093448800464077,-2.810432529889816,-2.8379560376873805,0.04518747419914958,7,-2.558419675197012,-2.583748383791389,-2.570293561137508,-2.5561773388762887,-2.6192193570764757,-2.5775716632157346,0.023022462117938267
0.164117431640625,0.020716153496463524,0.015487766265869141,0.010033256727267377,0.8,0.0,0.5,200,20,8,0.1,0.1,0.8,"{'subsample': 0.8, 'reg_lambda': 0, 'reg_alpha': 0.5, 'n_estimators': 200, 'min_child_weight': 20, 'max_depth': 8, 'learning_rate': 0.1, 'gamma': 0.1, 'colsample_bytree': 0.8}",-2.888205624324908,-2.9782984334453997,-2.874484154441408,-3.0977279256946764,-2.9945297229360803,-2.9666491721684944,0.08092274181749196,27,-2.8179754183193,-2.8356215759926635,-2.8474888555376983,-2.8156940466802216,-2.8310757602497953,-2.829571131355936,0.011721353745954448
0.15810375213623046,0.014485567379623941,0.008183145523071289,0.0009216450104353346,0.9,0.0,0.5,200,15,12,0.03,0.0,0.8,"{'subsample': 0.9, 'reg_lambda': 0, 'reg_alpha': 0.5, 'n_estimators': 200, 'min_child_weight': 15, 'max_depth': 12, 'learning_rate': 0.03, 'gamma': 0, 'colsample_bytree': 0.8}",-2.8997615398585985,-2.9480103558431807,-2.9259845091366654,-3.013973794759725,-2.7844702095002845,-2.9144400818196905,0.07519950055225715,18,-2.6713127301355644,-2.6793778499026164,-2.7234789076998913,-2.6636333576312707,-2.7118049295717928,-2.689921554988227,0.023467021130886567
0.29462103843688964,0.021684017231401037,0.009743642807006837,0.0013152896717107466,0.8,0.5,0.5,300,5,10,0.05,0.1,0.6,"{'subsample': 0.8, 'reg_lambda': 0.5, 'reg_alpha': 0.5, 'n_estimators': 300, 'min_child_weight': 5, 'max_depth': 10, 'learning_rate': 0.05, 'gamma': 0.1, 'colsample_bytree': 0.6}",-2.875706314217004,-2.755314136691808,-2.8866999376795506,-2.9500424455682213,-2.7695370766671967,-2.8474599821647564,0.07405893223675072,9,-2.1301069252059284,-2.1710317020002052,-2.1204176910970496,-2.118814705142934,-2.1756987806382204,-2.1432139608168677,0.024963486200673284
0.2178828239440918,0.014011801243111301,0.008007001876831055,0.000725502970952817,0.8,0.1,0.5,200,5,12,0.1,0.1,0.8,"{'subsample': 0.8, 'reg_lambda': 0.1, 'reg_alpha': 0.5, 'n_estimators': 200, 'min_child_weight': 5, 'max_depth': 12, 'learning_rate': 0.1, 'gamma': 0.1, 'colsample_bytree': 0.8}",-2.890641253187027,-2.758600017979085,-2.925175216482929,-2.966313305826012,-2.832202196098668,-2.874586397914744,0.07277372255294612,14,-2.0202742123903024,-2.0584258386474157,-2.0516074071356094,-2.0119773429302525,-2.074442528475958,-2.0433454659159076,0.023575183957664645
0.1478571891784668,0.008161731572353144,0.008092069625854492,0.0011778952920161213,0.8,0.0,0.0,200,15,10,0.1,0.0,0.6,"{'subsample': 0.8, 'reg_lambda': 0, 'reg_alpha': 0, 'n_estimators': 200, 'min_child_weight': 15, 'max_depth': 10, 'learning_rate': 0.1, 'gamma': 0, 'colsample_bytree': 0.6}",-2.880336070641643,-3.012557468627659,-2.8204867883003635,-3.057535019239477,-2.8715991513180756,-2.928502899625444,0.09048758893219938,22,-2.6810693949511895,-2.6589963171412667,-2.7268686834464066,-2.6586600591347067,-2.712812876266684,-2.6876814661880504,0.027842503832189558
0.17915897369384765,0.013768547990075083,0.007271671295166015,0.0003006495377979534,0.9,0.0,0.0,200,5,12,0.03,0.5,0.6,"{'subsample': 0.9, 'reg_lambda': 0, 'reg_alpha': 0, 'n_estimators': 200, 'min_child_weight': 5, 'max_depth': 12, 'learning_rate': 0.03, 'gamma': 0.5, 'colsample_bytree': 0.6}",-2.7909635053664172,-2.7633509762919184,-2.830434748121946,-2.9414787312492776,-2.801405448687136,-2.8255266819433396,0.0618243193152988,4,-2.4446887767777055,-2.496415390642737,-2.4650996804622656,-2.4460039756210965,-2.5043190082729665,-2.4713053663553546,0.02493001252953374
