Metric,Baseline_Train,Baseline_Test,Optimized_Train,Optimized_Test
MAE,2.386865266902497,2.9888064340992524,2.537235933757443,3.0090054139703097
RMSE,3.6161868687041467,4.215103134555196,3.7358550214361848,4.206695804305275
R²,0.613197771618775,0.45922702950071614,0.5871737867531212,0.46138210029658566
Median_AE,1.9218101501464844,2.0706892013549805,1.9499661922454834,2.0818443298339844
Within_1,30.28919330289193,28.57142857142857,28.61491628614916,27.532467532467532
Within_2,50.98934550989346,49.09090909090909,50.76103500761035,48.83116883116883
Within_3,66.43835616438356,64.15584415584415,66.28614916286149,63.37662337662338
Within_5,84.62709284627093,81.81818181818183,84.32267884322678,82.07792207792208
