Target,Baseline_F1,Optimized_F1,Baseline_AUC,Optimized_AUC,Improvement_F1_pct
win,0.6164096092866591,0.5869044073075487,0.9631980276351999,0.9620526183584972,-4.786622650684401
podium,0.7687693515823343,0.7648098821331067,0.9579279405264449,0.9572561886264205,-0.5150399714918243
points_finish,0.7945604124673425,0.8058786161143757,0.8441657861271089,0.8466973637026554,1.4244610566346796
top5,0.7852415078167657,0.7890700661587612,0.9134181163728671,0.9109962565860812,0.4875644376772878
