Target,Baseline_F1_default,Baseline_F1_optimized,Optimized_F1,Baseline_AUC,Optimized_AUC,Improvement
win,0.5327426132122952,0.6153968077451667,0.5936466217727066,0.9630299430660596,0.9664590141167961,-3.5343351962051144
podium,0.7570134754904067,0.7677715617008627,0.7936247200924645,0.9508092371163823,0.9561886425988366,3.367298253966158
points_finish,0.7846652126195593,0.7959412422743894,0.7940731195038143,0.8404828247230165,0.8412200716848465,-0.23470611539577976
top5,0.7900462708300859,0.8045398428001117,0.8040400874733363,0.9177799085043044,0.9155035057449982,-0.06211691456274336
