"id","driver_id","team_id","season"
1,1,1,2024
2,2,1,2024
3,3,2,2024
4,4,2,2024
5,5,3,2024
6,6,4,2024
7,7,3,2024
8,8,4,2024
9,9,5,2024
10,10,5,2024
11,11,6,2024
12,12,7,2024
13,13,8,2024
14,14,8,2024
15,15,9,2024
16,16,7,2024
17,17,10,2024
18,18,10,2024
19,19,6,2024
20,20,9,2024
21,6,4,2025
22,1,1,2025
23,5,3,2025
24,21,3,2025
25,15,9,2025
26,10,5,2025
27,16,6,2025
28,4,2,2025
29,8,4,2025
30,7,2,2025
31,18,10,2025
32,14,11,2025
33,17,7,2025
34,22,7,2025
35,23,1,2025
36,24,6,2025
37,9,5,2025
38,3,9,2025
39,25,10,2025
40,26,11,2025
41,4,2,2022
42,3,2,2022
43,7,3,2022
44,5,3,2022
45,12,7,2022
46,19,12,2022
47,17,10,2022
48,14,13,2022
49,9,10,2022
50,11,12,2022
51,27,7,2022
52,10,5,2022
53,15,9,2022
54,13,4,2022
55,6,4,2022
56,28,9,2022
57,16,5,2022
58,2,1,2022
59,1,1,2022
60,18,13,2022
61,1,1,2023
62,2,1,2023
63,9,5,2023
64,3,2,2023
65,7,3,2023
66,10,5,2023
67,5,3,2023
68,19,12,2023
69,18,10,2023
70,15,9,2023
71,14,13,2023
72,20,9,2023
73,12,7,2023
74,29,13,2023
75,16,7,2023
76,11,12,2023
77,6,4,2023
78,17,10,2023
79,4,2,2023
80,8,4,2023
