Target,Baseline_F1_default,Baseline_F1_optimized,Optimized_F1,Baseline_AUC,Optimized_AUC,Improvement
win,0.5462284957578752,0.5717578760947362,0.5977706814810211,0.9616463771508036,0.9642883204206696,4.549619073716929
podium,0.7278509015519454,0.7532093714676416,0.7528123326056816,0.9498452998854525,0.9527760239727795,-0.05271294768761665
points_finish,0.781326588652912,0.792128818957074,0.8025140375142735,0.8380154451025223,0.8384407807912113,1.3110517265200423
top5,0.7750978897572215,0.7813687108592493,0.7838409693494739,0.9120715644539469,0.9109719788919859,0.31640100964702245
