mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_samples,param_max_features,param_max_depth,param_bootstrap,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.3835152626037598,0.04156951016971275,0.08372607231140136,0.014497281154888117,150,25,8,0.7,0.6,18,True,"{'n_estimators': 150, 'min_samples_split': 25, 'min_samples_leaf': 8, 'max_samples': 0.7, 'max_features': 0.6, 'max_depth': 18, 'bootstrap': True}",-3.4679371872629527,-2.6254869584819027,-2.9340360418507663,-2.743408512557896,-2.772138519090813,-2.908601443848866,0.29650228965144027,1,-2.2218613736357997,-2.4273231118305034,-2.3735958003120334,-2.4378932746205306,-2.392812317160864,-2.370697175511946,0.07793765435957502
0.4103234767913818,0.02619600274824659,0.09248118400573731,0.004921443058342303,250,25,12,0.8,0.5,12,True,"{'n_estimators': 250, 'min_samples_split': 25, 'min_samples_leaf': 12, 'max_samples': 0.8, 'max_features': 0.5, 'max_depth': 12, 'bootstrap': True}",-3.5061827599102067,-2.59592759049821,-2.93543311892854,-2.7817189804434657,-2.7299470765738256,-2.9098419052708495,0.3173632478425639,2,-2.2534773299582755,-2.464716492639594,-2.428760125265949,-2.4752906832261456,-2.440103136291049,-2.4124695534762024,0.08122039369837929
0.3780008316040039,0.028167726726534486,0.11148157119750976,0.03341382572129961,150,25,10,0.7,0.4,18,True,"{'n_estimators': 150, 'min_samples_split': 25, 'min_samples_leaf': 10, 'max_samples': 0.7, 'max_features': 0.4, 'max_depth': 18, 'bootstrap': True}",-3.474894176332634,-2.658270003469713,-2.8857339329648224,-2.7650508513986036,-2.7824113119684615,-2.913272055226847,0.28993028847771685,3,-2.2820509159849856,-2.4961781198382265,-2.456372966594486,-2.510246457601172,-2.4604514935201953,-2.4410599907078128,0.08212086070671809
0.3673882484436035,0.02625608924921933,0.16949992179870604,0.022299824502687148,250,25,12,0.9,0.5,12,True,"{'n_estimators': 250, 'min_samples_split': 25, 'min_samples_leaf': 12, 'max_samples': 0.9, 'max_features': 0.5, 'max_depth': 12, 'bootstrap': True}",-3.5207794304174582,-2.617804552883056,-2.9393391907342457,-2.7677120139699856,-2.7290441139934276,-2.9149358603996345,0.32004986177449407,4,-2.2274108153135415,-2.43988951283655,-2.3944789668269624,-2.4351569331332072,-2.406711647548787,-2.38072957513181,0.0785276912936076
0.5823022365570069,0.05436959434375461,0.07852292060852051,0.02376583377048179,250,25,8,0.8,0.4,18,True,"{'n_estimators': 250, 'min_samples_split': 25, 'min_samples_leaf': 8, 'max_samples': 0.8, 'max_features': 0.4, 'max_depth': 18, 'bootstrap': True}",-3.500026422862492,-2.6347891816626547,-2.918316375274457,-2.768092128033146,-2.756254480196367,-2.915495717605823,0.30579923176141593,5,-2.2089803220867994,-2.4239336979886312,-2.3829264814089686,-2.418569299211933,-2.3895942612785017,-2.364800812394967,0.07951229907107829
0.5718023777008057,0.03805153672193035,0.08654971122741699,0.011358262794343965,250,25,10,0.8,0.6,18,True,"{'n_estimators': 250, 'min_samples_split': 25, 'min_samples_leaf': 10, 'max_samples': 0.8, 'max_features': 0.6, 'max_depth': 18, 'bootstrap': True}",-3.460289710957613,-2.618344990746614,-2.968663686265591,-2.7745254167322497,-2.755759696854032,-2.91551670031122,0.2943854963849902,6,-2.2152296468399437,-2.4204992152174625,-2.371238359185239,-2.4297472640862607,-2.3951463332694645,-2.366372163719674,0.0782838861460619
0.5272867202758789,0.03993007623362245,0.11908340454101562,0.012765984131051443,300,20,10,0.7,0.5,12,True,"{'n_estimators': 300, 'min_samples_split': 20, 'min_samples_leaf': 10, 'max_samples': 0.7, 'max_features': 0.5, 'max_depth': 12, 'bootstrap': True}",-3.4910568236174786,-2.6291867675446032,-2.946664809801877,-2.7618358489731043,-2.7531476783784052,-2.9163783856630934,0.3046897633664641,7,-2.2174775911555207,-2.4205994337133463,-2.3819602651055836,-2.4364172714903445,-2.393650657372688,-2.3700210437674967,0.07866008030177864
0.3010237693786621,0.022540678768792358,0.0913468837738037,0.011878853973200123,150,15,12,0.8,0.4,18,True,"{'n_estimators': 150, 'min_samples_split': 15, 'min_samples_leaf': 12, 'max_samples': 0.8, 'max_features': 0.4, 'max_depth': 18, 'bootstrap': True}",-3.5249930249064363,-2.613524080645259,-2.915881262704548,-2.784290256527228,-2.7435412980635103,-2.9164459845693966,0.3192029655754577,8,-2.2788389193835994,-2.479122922676704,-2.4439973314148142,-2.484605583004458,-2.4639982000186924,-2.430112591299654,0.07693665319978452
0.45450444221496583,0.08145557135963193,0.09962329864501954,0.020642017047351607,200,25,12,0.7,0.6,15,True,"{'n_estimators': 200, 'min_samples_split': 25, 'min_samples_leaf': 12, 'max_samples': 0.7, 'max_features': 0.6, 'max_depth': 15, 'bootstrap': True}",-3.4900785597463764,-2.622304020717979,-2.944540418024886,-2.77435097915338,-2.7514226703124733,-2.9165393295910187,0.3045609182543876,9,-2.2763486544709712,-2.474295496724994,-2.43643969679199,-2.50856258298276,-2.460588275466204,-2.431246941287384,0.08088540589725221
0.5633888244628906,0.09167800022290346,0.14958596229553223,0.042687078140782694,300,20,12,0.7,0.6,15,True,"{'n_estimators': 300, 'min_samples_split': 20, 'min_samples_leaf': 12, 'max_samples': 0.7, 'max_features': 0.6, 'max_depth': 15, 'bootstrap': True}",-3.469736542829071,-2.636014946041734,-2.955472396253379,-2.7726096668528286,-2.750535336503969,-2.916873777696196,0.29479124289533715,10,-2.268932535288056,-2.473201316723464,-2.431931072759825,-2.499385256975395,-2.4526184073960753,-2.425213717828563,0.08127013565994759
