mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_reg_lambda,param_reg_alpha,param_n_estimators,param_min_child_weight,param_max_depth,param_learning_rate,param_gamma,param_colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.12797298431396484,0.01493610203742768,0.021692180633544923,0.026129260449704962,0.8,0.0,0.5,300,15,10,0.01,0.5,0.8,"{'subsample': 0.8, 'reg_lambda': 0, 'reg_alpha': 0.5, 'n_estimators': 300, 'min_child_weight': 15, 'max_depth': 10, 'learning_rate': 0.01, 'gamma': 0.5, 'colsample_bytree': 0.8}",-3.6100317981536847,-2.9668834732930813,-2.7337452961288977,-2.8621255897877,-2.916432136616862,-3.0178436587960453,0.30611371299531825,28,-2.649814759400367,-2.823816748997969,-2.9010988835405644,-2.8713768475199366,-2.815322169033454,-2.8122858816984584,0.08708448433582407
0.15324149131774903,0.03148968071568272,0.009851789474487305,0.0011967254234823772,0.7,0.0,0.0,300,15,6,0.03,0.5,0.6,"{'subsample': 0.7, 'reg_lambda': 0, 'reg_alpha': 0, 'n_estimators': 300, 'min_child_weight': 15, 'max_depth': 6, 'learning_rate': 0.03, 'gamma': 0.5, 'colsample_bytree': 0.6}",-3.53023589056545,-2.9549034507166283,-2.653152554565717,-2.745758385762719,-2.8859866582250815,-2.954007387967119,0.3067729412806543,23,-2.6896744152014156,-2.8035592003319145,-2.9256115491391,-2.8546083360066117,-2.8128199539877676,-2.817254690933362,0.07696812798932703
0.3692136764526367,0.062207125117595206,0.008768224716186523,0.0024250359808267456,0.9,0.1,0.5,700,20,8,0.01,0.0,0.6,"{'subsample': 0.9, 'reg_lambda': 0.1, 'reg_alpha': 0.5, 'n_estimators': 700, 'min_child_weight': 20, 'max_depth': 8, 'learning_rate': 0.01, 'gamma': 0, 'colsample_bytree': 0.6}",-3.6009994690862057,-3.0360291806610165,-2.7433529124009963,-2.8225025102431247,-2.8879713195725722,-3.0181710783927835,0.306845575145732,29,-2.7661364965181874,-2.8589297899707984,-2.9859928227282553,-2.8992859066997245,-2.8612868564204614,-2.8743263744674854,0.07099930626727795
0.18841638565063476,0.05292160307245488,0.0201693058013916,0.02064451764615257,0.8,0.5,0.0,300,10,6,0.05,0.5,0.7,"{'subsample': 0.8, 'reg_lambda': 0.5, 'reg_alpha': 0, 'n_estimators': 300, 'min_child_weight': 10, 'max_depth': 6, 'learning_rate': 0.05, 'gamma': 0.5, 'colsample_bytree': 0.7}",-3.4678469795902394,-2.771096721837371,-2.728294442122325,-2.637379774456211,-2.7128629040143464,-2.8634961644040984,0.3052461536037644,9,-2.3169099557166017,-2.521735522926254,-2.5325044653229645,-2.566252707162996,-2.5166842661963167,-2.4908173834650267,0.08865339390153057
0.14256162643432618,0.050046878735845825,0.008509254455566407,0.0010891090507535357,0.8,0.0,0.5,200,20,8,0.1,0.1,0.8,"{'subsample': 0.8, 'reg_lambda': 0, 'reg_alpha': 0.5, 'n_estimators': 200, 'min_child_weight': 20, 'max_depth': 8, 'learning_rate': 0.1, 'gamma': 0.1, 'colsample_bytree': 0.8}",-5.091585932342692,-4.939688507526224,-5.241487492017615,-5.360189871488619,-5.101064891933412,-5.146803339061712,0.14320364662578391,39,-5.051187218826118,-5.082497208308768,-5.033217776949266,-5.001190034717729,-5.0761286475240155,-5.048844177265179,0.029656568743697112
0.10123276710510254,0.010958763471906382,0.008540058135986328,0.0014222707502598913,0.9,0.0,0.5,200,15,12,0.03,0.0,0.8,"{'subsample': 0.9, 'reg_lambda': 0, 'reg_alpha': 0.5, 'n_estimators': 200, 'min_child_weight': 15, 'max_depth': 12, 'learning_rate': 0.03, 'gamma': 0, 'colsample_bytree': 0.8}",-3.584427812379999,-2.903134754624817,-2.6336376520497065,-2.7086390941851906,-2.867784070813645,-2.9395246768106715,0.33741547665573574,17,-2.533655120993799,-2.6982871649669695,-2.7939859268494773,-2.7795354646908033,-2.7003096929751997,-2.7011546740952497,0.09254861070073718
0.22520232200622559,0.04843344161876105,0.008803796768188477,0.0014144621441158265,0.8,0.5,0.5,300,5,10,0.05,0.1,0.6,"{'subsample': 0.8, 'reg_lambda': 0.5, 'reg_alpha': 0.5, 'n_estimators': 300, 'min_child_weight': 5, 'max_depth': 10, 'learning_rate': 0.05, 'gamma': 0.1, 'colsample_bytree': 0.6}",-3.598615663336807,-2.5771613010205816,-2.779383716198745,-2.4749290885672934,-2.8481246701371106,-2.8556428878521074,0.3950634179825783,7,-1.807857267762258,-2.0831081232958835,-2.0370807261942576,-2.0779249621974807,-2.018111775008731,-2.0048165708917223,0.10147424236357981
0.15718140602111816,0.05415083921221152,0.009606361389160156,0.0024346030803722714,0.8,0.1,0.5,200,5,12,0.1,0.1,0.8,"{'subsample': 0.8, 'reg_lambda': 0.1, 'reg_alpha': 0.5, 'n_estimators': 200, 'min_child_weight': 5, 'max_depth': 12, 'learning_rate': 0.1, 'gamma': 0.1, 'colsample_bytree': 0.8}",-3.744034763920415,-2.5915217543690776,-2.8106962574332077,-2.465513855585919,-2.7661263743432523,-2.875578601130374,0.4514968444830391,13,-1.682429982082593,-1.9698896120522718,-1.9193205361038235,-1.9692767839053071,-1.9586740008779842,-1.8999181830043959,0.11030542269709634
0.13290905952453613,0.035473270931711376,0.0074599266052246095,0.0008067471089712096,0.8,0.0,0.0,200,15,10,0.1,0.0,0.6,"{'subsample': 0.8, 'reg_lambda': 0, 'reg_alpha': 0, 'n_estimators': 200, 'min_child_weight': 15, 'max_depth': 10, 'learning_rate': 0.1, 'gamma': 0, 'colsample_bytree': 0.6}",-3.679842986251138,-2.9153529607383444,-2.643503254229022,-2.70694180135951,-2.851639131102781,-2.959456026736159,0.37312639234612655,24,-2.4911447433780713,-2.6608384702415675,-2.7592531033433043,-2.727501869367563,-2.6582142776696642,-2.6593904928000343,0.09265183529936423
0.14242143630981446,0.021368734226850844,0.008343791961669922,0.00240768631602711,0.9,0.0,0.0,200,5,12,0.03,0.5,0.6,"{'subsample': 0.9, 'reg_lambda': 0, 'reg_alpha': 0, 'n_estimators': 200, 'min_child_weight': 5, 'max_depth': 12, 'learning_rate': 0.03, 'gamma': 0.5, 'colsample_bytree': 0.6}",-3.4059965745924163,-2.572247494945282,-2.8500309964069,-2.6062864038630074,-2.7688540046123364,-2.8406830948839885,0.3006079213487977,3,-2.1743942620950216,-2.3805378332265232,-2.36546738971149,-2.407898508396037,-2.379715703594837,-2.341602739404782,0.08472527955092528
