Target,Baseline_F1,Optimized_F1,Baseline_AUC,Optimized_AUC,Improvement_F1_pct
win,0.6483348647208035,0.6206526550866006,0.9632322673618584,0.9610933220157583,-4.2697394726911435
podium,0.7719235671660667,0.7434643882321162,0.9496915969625644,0.9537347225215231,-3.6867871567170223
points_finish,0.7975337679986781,0.8004847704479912,0.8487896068669809,0.8462775667424173,0.37001598775161865
top5,0.7860240771565553,0.7859137432367774,0.9136365951094425,0.9140832961981524,-0.014036964386258536
