Target,Baseline_F1_default,Baseline_F1_optimized,Optimized_F1,Baseline_AUC,Optimized_AUC,Improvement
win,0.5267925454960689,0.5599567663788705,0.5846606155574205,0.9601757277882017,0.96160960992794,4.411742238299032
podium,0.7360057942883106,0.7495463964030841,0.7501374777344272,0.9543645556634878,0.9594810198073804,0.07885853820118251
points_finish,0.7898010385832317,0.7949096984542794,0.7978171487076082,0.8468071610105137,0.8459561904757997,0.36575855835982896
top5,0.7380463876592516,0.7546064766866527,0.7669266700992405,0.9034846209112518,0.9004886799243189,1.6326646793019433
