Metric,Baseline_Train,Baseline_Test,Optimized_Train,Optimized_Test
MAE,2.3751484169523143,3.0428578478086816,2.4606291500246398,3.007534114152195
RMSE,3.5040236011255783,4.180551763988045,3.616013800914104,4.190331818586401
R²,0.637151603085305,0.4680561699122342,0.6135873619759706,0.46556438158669344
Median_AE,1.6355154514312744,2.06953763961792,1.5585815906524658,2.0605525970458984
Within_1,36.08695652173913,22.07792207792208,34.56521739130435,26.49350649350649
Within_2,58.69565217391305,47.27272727272727,59.130434782608695,49.09090909090909
Within_3,75.0,64.15584415584415,73.47826086956522,63.896103896103895
Within_5,88.26086956521739,82.5974025974026,86.73913043478261,81.81818181818183
