mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_samples,param_max_features,param_max_depth,param_bootstrap,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.5113430023193359,0.038568781211841804,0.128555965423584,0.03905635027625199,250,15,10,0.8,0.5,15,True,"{'n_estimators': 250, 'min_samples_split': 15, 'min_samples_leaf': 10, 'max_samples': 0.8, 'max_features': 0.5, 'max_depth': 15, 'bootstrap': True}",-3.5054999973629664,-2.5971763399840793,-2.928383235884793,-2.7444196083843515,-2.7337167039890677,-2.9018391771210514,0.31967999745883596,1,-2.184043672816965,-2.3910869609942282,-2.348773543437192,-2.4074739101159444,-2.359290403270892,-2.338133698127044,0.07989575887088761
0.4005831241607666,0.014738414164588367,0.09072260856628418,0.01319859969011984,250,25,12,0.8,0.5,12,True,"{'n_estimators': 250, 'min_samples_split': 25, 'min_samples_leaf': 12, 'max_samples': 0.8, 'max_features': 0.5, 'max_depth': 12, 'bootstrap': True}",-3.507257962424051,-2.6018826631302763,-2.9345323422462126,-2.763025098918792,-2.7062218924677186,-2.90258399183741,0.3209695797257542,2,-2.2574227717852953,-2.4674348158228705,-2.4343847179749134,-2.4843762138078307,-2.435789693998712,-2.415881642677925,0.08148269018998655
0.5431714057922363,0.021258065823822257,0.15209393501281737,0.012037070671443743,300,25,12,0.9,0.6,20,True,"{'n_estimators': 300, 'min_samples_split': 25, 'min_samples_leaf': 12, 'max_samples': 0.9, 'max_features': 0.6, 'max_depth': 20, 'bootstrap': True}",-3.5230914677406964,-2.5853862896137354,-2.974194528467227,-2.740209255865967,-2.7163732296618366,-2.9078509542698923,0.33216660797549613,3,-2.2161653505411203,-2.420277741298504,-2.3806751544565863,-2.4385261022355658,-2.3931065643118785,-2.3697501825687306,0.0794183071149732
0.3508919239044189,0.03813286604363934,0.07210116386413574,0.005369534873749224,150,25,8,0.7,0.6,18,True,"{'n_estimators': 150, 'min_samples_split': 25, 'min_samples_leaf': 8, 'max_samples': 0.7, 'max_features': 0.6, 'max_depth': 18, 'bootstrap': True}",-3.498093938887242,-2.6089979581093234,-2.912747518555491,-2.7481563145759327,-2.7722518378068797,-2.908049513586974,0.31035887992756717,4,-2.2187964217131135,-2.429472556198786,-2.3817109936851413,-2.451032140213586,-2.4025270165501666,-2.3767078256721588,0.08238433628752319
0.37112836837768554,0.04671234410071927,0.10292696952819824,0.04061763661000179,150,25,10,0.7,0.4,18,True,"{'n_estimators': 150, 'min_samples_split': 25, 'min_samples_leaf': 10, 'max_samples': 0.7, 'max_features': 0.4, 'max_depth': 18, 'bootstrap': True}",-3.5131755819059793,-2.620217670777313,-2.8835765912086093,-2.7539945890405053,-2.773806964094162,-2.9089542794053136,0.3134879714086582,5,-2.278073833202624,-2.4878301953332436,-2.4682243467271863,-2.5132177684071895,-2.468815850554223,-2.4432323988448936,0.08419427257208671
0.520588493347168,0.03180640893539918,0.10063333511352539,0.014598986436015836,300,15,15,0.8,0.5,18,True,"{'n_estimators': 300, 'min_samples_split': 15, 'min_samples_leaf': 15, 'max_samples': 0.8, 'max_features': 0.5, 'max_depth': 18, 'bootstrap': True}",-3.489819219813606,-2.6291226683723146,-2.9330795204228024,-2.779619430944208,-2.7207594628489074,-2.910480060480368,0.30608005121167775,6,-2.3365609653213935,-2.52721169661395,-2.5024791363457433,-2.5530879572918432,-2.5036122857448397,-2.484590408263554,0.0762929129560648
0.43320631980895996,0.06900570726638673,0.07384629249572754,0.013967061034951241,150,30,15,0.8,0.5,15,True,"{'n_estimators': 150, 'min_samples_split': 30, 'min_samples_leaf': 15, 'max_samples': 0.8, 'max_features': 0.5, 'max_depth': 15, 'bootstrap': True}",-3.4968038270641624,-2.619767092554448,-2.9063714518387136,-2.786985483007854,-2.7551590030947173,-2.913017371511979,0.305826689954435,7,-2.3371664274389476,-2.5279887877473657,-2.5044494883404904,-2.555703620491835,-2.5089735980696433,-2.4868563844176563,0.07699037366370749
0.5105387687683105,0.014191985561903134,0.08931384086608887,0.009660180080725328,300,30,15,0.8,0.4,20,True,"{'n_estimators': 300, 'min_samples_split': 30, 'min_samples_leaf': 15, 'max_samples': 0.8, 'max_features': 0.4, 'max_depth': 20, 'bootstrap': True}",-3.4878449003172167,-2.6413839399496566,-2.9304739761288414,-2.7906334389691545,-2.7158895766848037,-2.9132451664099346,0.30277155647283066,8,-2.3489671190417214,-2.55573936427727,-2.5257130833925947,-2.5707264236445835,-2.522711155201615,-2.504771429111557,0.07997894899466755
0.5739674091339111,0.029739638217441456,0.17168183326721193,0.04349532688570177,300,30,15,0.8,0.4,12,True,"{'n_estimators': 300, 'min_samples_split': 30, 'min_samples_leaf': 15, 'max_samples': 0.8, 'max_features': 0.4, 'max_depth': 12, 'bootstrap': True}",-3.4878449003172176,-2.6413839399496566,-2.9304739761288414,-2.790633438969154,-2.715889576684804,-2.9132451664099346,0.30277155647283105,8,-2.3489671190417214,-2.555739364277269,-2.525713083392595,-2.5707264236445835,-2.5227111552016153,-2.504771429111557,0.07997894899466748
0.5267292022705078,0.06947430366188334,0.12775540351867676,0.039778182183316295,250,30,10,0.9,0.4,15,True,"{'n_estimators': 250, 'min_samples_split': 30, 'min_samples_leaf': 10, 'max_samples': 0.9, 'max_features': 0.4, 'max_depth': 15, 'bootstrap': True}",-3.5084467129572525,-2.6277596870276065,-2.9133331788366537,-2.75279290401987,-2.76507906595017,-2.9134823097583107,0.3109548804387443,10,-2.261188757945029,-2.4720402510334267,-2.43626281516931,-2.4838734472804576,-2.431032605402235,-2.4168795753660914,0.08043199349496077
